timedate,value
03/11/21 21:26:13,83
03/11/21 21:26:21,81
03/11/21 21:26:27,83
03/11/21 21:26:34,85
03/11/21 21:26:41,86
03/11/21 21:26:45,86
03/11/21 21:26:51,87
03/11/21 21:26:53,90
03/11/21 21:26:59,91
03/11/21 21:27:05,90
03/11/21 21:27:09,91
03/11/21 21:27:15,93
03/11/21 21:27:20,95
03/11/21 21:27:23,95
03/11/21 21:27:30,96
03/11/21 21:27:32,94
03/11/21 21:27:42,95
03/11/21 21:27:48,96
03/11/21 21:27:50,98
03/11/21 21:27:56,97
03/11/21 21:28:02,98
03/11/21 21:28:04,100
03/11/21 21:28:09,102
03/11/21 21:28:17,102
03/11/21 21:28:22,100
03/11/21 21:28:29,101
03/11/21 21:28:34,103
03/11/21 21:28:37,106
03/11/21 21:28:39,109
03/11/21 21:28:42,111
03/11/21 21:28:46,107
03/11/21 21:28:48,106
03/11/21 21:28:50,102
03/11/21 21:29:22,84
03/11/21 21:29:26,82
03/11/21 21:29:31,80
03/11/21 21:29:37,80
03/11/21 21:29:43,78
03/11/21 21:29:47,78
03/11/21 21:29:51,78
03/11/21 21:30:00,76
03/11/21 21:30:08,77
03/11/21 21:30:13,80
03/11/21 21:30:17,82
03/11/21 21:30:19,82
03/11/21 21:30:25,82
03/11/21 21:30:28,80
03/11/21 21:30:34,79
03/11/21 21:30:37,81
03/11/21 21:30:43,81
03/11/21 21:30:48,83
03/11/21 21:30:53,80
03/11/21 21:31:02,81
03/11/21 21:31:04,83
03/11/21 21:31:10,85
03/11/21 21:31:16,88
03/11/21 21:31:18,90
03/11/21 21:31:28,90
03/11/21 21:31:37,89
03/11/21 21:31:41,92
03/11/21 21:31:44,96
03/11/21 21:31:48,96
03/11/21 21:31:55,97
03/11/21 21:32:05,97
03/11/21 21:32:08,94
03/11/21 21:32:10,96
03/11/21 21:32:19,95
03/11/21 21:32:24,94
03/11/21 21:32:31,95
03/11/21 21:32:39,93
03/11/21 21:32:46,92
03/11/21 21:32:49,94
03/11/21 21:32:52,94
03/11/21 21:32:57,91
03/11/21 21:33:01,88
03/11/21 21:33:05,86
03/11/21 21:33:07,89
03/11/21 21:33:13,91
03/11/21 21:33:19,91
03/11/21 21:33:25,93
03/11/21 21:33:30,93
03/11/21 21:33:34,91
03/11/21 21:33:37,89
03/11/21 21:33:39,86
03/11/21 21:33:43,86
03/11/21 21:33:53,88
03/11/21 21:33:57,90
03/11/21 21:34:01,92
03/11/21 21:34:04,94
03/11/21 21:34:11,96
03/11/21 21:34:14,98
03/11/21 21:34:16,95
03/11/21 21:34:18,95
03/11/21 21:34:20,91
03/11/21 21:34:23,89
03/11/21 21:34:29,88
03/11/21 21:34:33,90
03/11/21 21:34:41,91
03/11/21 21:34:44,89
03/11/21 21:34:46,87
03/11/21 21:34:51,88
03/11/21 21:34:58,86
03/11/21 21:35:00,88
03/11/21 21:35:07,87
03/11/21 21:35:09,89
03/11/21 21:35:14,91
03/11/21 21:35:16,93
03/11/21 21:35:23,92
03/11/21 21:35:25,89
03/11/21 21:35:32,91
03/11/21 21:35:36,89
03/11/21 21:35:39,89
03/11/21 21:35:44,89
03/11/21 21:35:46,86
03/11/21 21:35:48,89
03/11/21 21:35:53,87
03/11/21 21:35:55,85
03/11/21 21:36:00,87
03/11/21 21:36:02,89
03/11/21 21:36:05,91
03/11/21 21:36:08,93
03/11/21 21:36:11,96
03/11/21 21:36:16,94
03/11/21 21:36:22,92
03/11/21 21:36:28,93
03/11/21 21:36:30,91
03/11/21 21:36:35,94
03/11/21 21:36:37,94
03/11/21 21:36:43,96
03/11/21 21:36:50,97
03/11/21 21:37:59,84
03/11/21 21:38:05,85
03/11/21 21:38:08,88
03/11/21 21:38:13,90
03/11/21 21:38:23,90
03/11/21 21:38:31,88
03/11/21 21:38:37,90
03/11/21 21:38:42,92
03/11/21 21:38:48,93
03/11/21 21:38:54,95
03/11/21 21:39:04,97
03/11/21 21:39:07,95
03/11/21 21:39:10,95
03/11/21 21:39:15,97
03/11/21 21:39:18,97
03/11/21 21:39:24,95
03/11/21 21:39:26,93
03/11/21 21:39:36,93
03/11/21 21:39:40,91
03/11/21 21:39:48,93
03/11/21 21:39:50,90
03/11/21 21:40:01,90
03/11/21 21:40:10,91
03/11/21 21:40:15,88
03/11/21 21:40:24,85
03/11/21 21:40:33,84
03/11/21 21:40:40,81
03/11/21 21:40:46,80
03/11/21 21:40:54,79
03/11/21 21:41:00,81
03/11/21 21:41:03,81
03/11/21 21:41:11,83
03/11/21 21:41:14,85
03/11/21 21:41:24,86
03/11/21 21:41:27,89
03/11/21 21:41:31,87
03/11/21 21:41:33,84
03/11/21 21:41:41,84
03/11/21 21:41:47,82
03/11/21 21:41:50,82
03/11/21 21:41:52,82
03/11/21 21:42:02,82
03/11/21 21:42:11,82
03/11/21 21:42:17,83
03/11/21 21:42:24,85
03/11/21 21:42:30,89
03/11/21 21:42:34,89
03/11/21 21:42:36,91
03/11/21 21:42:41,93
03/11/21 21:42:47,93
07/11/21 00:25:36,118
07/11/21 00:25:45,117
07/11/21 00:25:50,116
07/11/21 00:26:00,116
