At,Heartrate
07-11-2021 00:24:00,78
07-11-2021 00:24:02,79
07-11-2021 00:24:08,79
07-11-2021 00:24:14,79
07-11-2021 00:24:19,79
07-11-2021 00:24:25,79
07-11-2021 00:24:31,79
07-11-2021 00:24:37,79
07-11-2021 00:24:43,79
07-11-2021 00:24:48,79
07-11-2021 00:24:54,79
07-11-2021 00:25:00,79
07-11-2021 00:25:02,88
07-11-2021 00:25:04,92
07-11-2021 00:25:05,85
07-11-2021 00:25:07,88
07-11-2021 00:25:09,86
07-11-2021 00:25:11,87
07-11-2021 00:25:17,87
07-11-2021 00:25:29,92
07-11-2021 00:25:30,91
07-11-2021 00:25:32,88
07-11-2021 00:25:34,89
07-11-2021 00:25:40,89
07-11-2021 00:25:46,89
07-11-2021 00:25:52,89
07-11-2021 00:25:57,93
07-11-2021 00:25:59,94
07-11-2021 00:26:03,91
07-11-2021 00:26:05,89
07-11-2021 00:26:07,87
07-11-2021 00:26:11,86
07-11-2021 00:26:17,86
07-11-2021 00:26:22,86
07-11-2021 00:26:26,93
07-11-2021 00:26:28,88
07-11-2021 00:26:30,89
07-11-2021 00:26:32,87
07-11-2021 00:26:34,88
07-11-2021 00:26:40,86
07-11-2021 00:26:45,87
07-11-2021 00:26:47,84
07-11-2021 00:26:49,83
07-11-2021 00:26:51,82
07-11-2021 00:26:55,83
07-11-2021 00:26:59,81
07-11-2021 00:27:01,80
07-11-2021 00:27:05,83
07-11-2021 00:27:06,84
07-11-2021 00:27:08,83
07-11-2021 00:27:10,82
07-11-2021 00:27:12,81
07-11-2021 00:27:14,85
07-11-2021 00:27:18,86
07-11-2021 00:27:22,85
07-11-2021 00:27:26,84
07-11-2021 00:27:31,84
07-11-2021 00:27:39,83
07-11-2021 00:27:41,87
07-11-2021 00:27:43,85
07-11-2021 00:27:45,86
07-11-2021 00:27:52,86
07-11-2021 00:27:56,86
07-11-2021 00:28:02,86
07-11-2021 00:28:06,82
07-11-2021 00:28:08,84
07-11-2021 00:28:10,83
07-11-2021 00:28:16,83
07-11-2021 00:28:21,83
07-11-2021 00:28:27,83
07-11-2021 00:28:33,83
07-11-2021 00:28:40,83
07-11-2021 00:28:44,82
07-11-2021 00:28:50,82
07-11-2021 00:28:54,89
07-11-2021 00:28:56,91
07-11-2021 00:28:58,90
07-11-2021 00:29:04,90
07-11-2021 00:29:09,90
07-11-2021 00:29:15,90
07-11-2021 00:29:28,91
07-11-2021 00:29:29,90
07-11-2021 00:29:34,90
07-11-2021 00:29:42,94
07-11-2021 00:29:44,96
07-11-2021 00:29:46,94
07-11-2021 00:29:48,95
07-11-2021 00:29:54,95
07-11-2021 00:29:59,96
07-11-2021 00:30:01,97
07-11-2021 00:30:03,96
07-11-2021 00:30:09,96
07-11-2021 00:30:16,96
07-11-2021 00:30:20,96
07-11-2021 00:30:26,96
07-11-2021 00:30:32,96
07-11-2021 00:30:38,96
07-11-2021 00:30:43,96
07-11-2021 00:30:47,97
07-11-2021 00:30:53,97
07-11-2021 00:30:59,97
07-11-2021 00:31:05,97
07-11-2021 00:31:06,98
07-11-2021 00:31:08,99
07-11-2021 00:31:14,102
07-11-2021 00:31:16,103
07-11-2021 00:31:18,111
07-11-2021 00:31:20,116
07-11-2021 00:31:22,114
07-11-2021 00:31:24,109
07-11-2021 00:31:26,106
07-11-2021 00:31:31,106
07-11-2021 00:31:37,106
07-11-2021 00:31:43,111
07-11-2021 00:31:45,99
07-11-2021 00:31:47,104
07-11-2021 00:31:49,102
07-11-2021 00:31:52,103
07-11-2021 00:31:53,102
07-11-2021 00:31:58,102
07-11-2021 00:32:04,104
07-11-2021 00:32:06,103
07-11-2021 00:32:12,103
07-11-2021 00:32:18,103
07-11-2021 00:32:19,104
07-11-2021 00:32:25,94
07-11-2021 00:32:27,93
07-11-2021 00:32:33,93
07-11-2021 00:32:40,93
07-11-2021 00:32:43,94
07-11-2021 00:32:46,95
07-11-2021 00:32:52,95
07-11-2021 00:32:58,95
07-11-2021 00:33:04,95
07-11-2021 00:33:09,95
07-11-2021 00:33:15,95
07-11-2021 00:33:21,95
07-11-2021 00:33:28,96
07-11-2021 00:33:29,97
07-11-2021 00:33:30,98
07-11-2021 00:33:36,98
07-11-2021 00:33:38,99
07-11-2021 00:33:43,101
07-11-2021 00:33:45,100
07-11-2021 00:33:52,100
07-11-2021 00:33:56,100
07-11-2021 00:34:02,100
07-11-2021 00:34:08,100
07-11-2021 00:34:14,100
07-11-2021 00:34:19,100
07-11-2021 00:34:25,100
07-11-2021 00:34:31,100
07-11-2021 00:34:37,100
07-11-2021 00:34:43,100
07-11-2021 00:34:46,101
